metric,value,status,notes
panel_path,D:\DocumentosHL\Documentos\Documents\2021\Henry Laverde\2026\Investigación\Paper de IA\Propuesta No. 1\ai-knowledge-commons-shock\data\processed\panel_tag_week_question_type_2020_2025.csv,ok,
n_rows,186188,ok,
n_tags,100,ok,
n_question_types,7,ok,
question_type_set,advanced_architecture;debugging_simple;how_to;long_code;other_conceptual;short_code;version_environment_specific,ok,
min_week,2020-01-06 00:00:00,ok,
max_week,2025-12-29 00:00:00,ok,
n_weeks,313,ok,
n_2025_rows,21673,ok,
n_2025_weeks,52,ok,
n_2025_tags,100,ok,
n_2025_question_types,7,ok,
duplicate_tag_week_question_type,0,ok,
missing_required_logical_columns,,ok,"mapping={'tag': 'tag', 'week': 'week', 'question_type': 'question_type', 'n_questions': 'n_questions', 'substitutable_type': 'substitutable_type', 'post_chatgpt': 'post_chatgpt', 'ai_answerability_structural': 'ai_answerability_structural', 'log_questions_p1': 'log_questions_p1', 'tag_qtype': 'tag_qtype'}"
post_indicator_consistent,True,ok,cutoff 2022-11-30
substitutable_consistent,True,ok,
ai_answerability_nonmissing,True,ok,ai_answerability_zscore;ai_answerability_pca;ai_answerability_quantile;ai_answerability_structural
log_questions_p1_consistent,True,ok,
q1_2025_observations,6583,ok,
q2_2025_observations,5872,ok,
q3_2025_observations,4835,ok,
q4_2025_observations,4383,ok,
quarterly_event_bins_through_q4_2025_possible,True,ok,
clean_to_panel_clean_total_questions_all_2025,87027,ok,
clean_to_panel_clean_question_tag_rows_all_2025,132511,ok,
clean_to_panel_comparison_start_week,2025-01-06,ok,
clean_to_panel_panel_total_questions_from_2025_01_06,129646,ok,
clean_to_panel_clean_total_question_tag_rows_from_2025_01_06,129646,ok,
clean_to_panel_tag_week_qtype_discrepancies_from_2025_01_06,0,ok,
clean_to_panel_max_abs_discrepancy,0.0,ok,
clean_to_panel_status,ok,ok,
clean_to_panel_note,The 2024-12-30 crossing week is excluded because the panel consolidates late-2024 and early-2025 rows.,ok,
