evidence_block,hypothesis,outcome,outcome_label,coefficient_name,estimate,std_error,p_value,specification,stars,estimate_with_stars,std_error_fmt,p_value_fmt
Stack Overflow core,H1,log_questions,SO: log(1 + questions),AI answerability x Post ChatGPT,-0.3012703189551712,0.0697457186811441,1.567000885716041e-05,Tag FE + week FE; SE clustered by tag,***,-0.301***,(0.070),0.000
Stack Overflow core,H1,log_answers,SO: log(1 + answers),AI answerability x Post ChatGPT,-0.2539067540077309,0.0663927210060975,0.000131322877003,Tag FE + week FE; SE clustered by tag,***,-0.254***,(0.066),0.000
Stack Overflow core,H1/H3,answer_rate,SO: answer rate,AI answerability x Post ChatGPT,0.0213796121333535,0.0075059435220113,0.004396660457866,Tag FE + week FE; SE clustered by tag,***,0.021***,(0.008),0.004
Stack Overflow core,H3,code_share,SO: code share,AI answerability x Post ChatGPT,-0.0232908172347678,0.0049185216813837,2.194053144499719e-06,Tag FE + week FE; SE clustered by tag,***,-0.023***,(0.005),0.000
Stack Overflow core,H2/H3,short_code_share,SO: short-code share,AI answerability x Post ChatGPT,-0.0338254633072556,0.0051115993401791,3.699240913590529e-11,Tag FE + week FE; SE clustered by tag,***,-0.034***,(0.005),0.000
Stack Overflow trend-robust,H1,log_questions,SO: log(1 + questions),AI answerability x Post ChatGPT,-0.3308218169035232,0.0596055976151289,2.8537503915697796e-08,Tag FE + week FE + tag-specific linear trends,***,-0.331***,(0.060),0.000
Stack Overflow trend-robust,H1,log_answers,SO: log(1 + answers),AI answerability x Post ChatGPT,-0.3273148743426645,0.0530658704012697,6.912136825925327e-10,Tag FE + week FE + tag-specific linear trends,***,-0.327***,(0.053),0.000
Stack Overflow user heterogeneity,H1/H2,log_questions,SO: log(1 + questions),AI answerability x Post ChatGPT,-0.1732347249668761,0.054115997599816,0.0013693771257021,Tag-user-group FE + week FE,***,-0.173***,(0.054),0.001
Stack Overflow user heterogeneity,H2,log_questions,SO: log(1 + questions),AI answerability x Post ChatGPT x new user,-0.0886810042879334,0.0859926475644683,0.3024216916755486,Tag-user-group FE + week FE,,-0.089,(0.086),0.302
Stack Overflow user heterogeneity,H1/H2,log_unique_users,SO users: log(1 + unique users),AI answerability x Post ChatGPT,-0.1494928435212345,0.0486896405433865,0.0021392084524209,Tag-user-group FE + week FE,***,-0.149***,(0.049),0.002
Stack Overflow user heterogeneity,H2,log_unique_users,SO users: log(1 + unique users),AI answerability x Post ChatGPT x new user,-0.080679789458485,0.0772528735116875,0.2963230567058534,Tag-user-group FE + week FE,,-0.081,(0.077),0.296
GitHub extension,H4,log1p_first_seen_actors_language,GitHub: log(1 + first-seen actors),SO dependence x Post ChatGPT,0.0424416428979829,0.0518876126409267,0.4133838658277421,Language FE + week FE; SE clustered by language; top-1000 entry-oriented repos,,0.042,(0.052),0.413
GitHub extension,H4,log1p_pr_first_seen_actors,GitHub: log(1 + first-seen PR actors),SO dependence x Post ChatGPT,0.0513265557566098,0.0297287699932619,0.0842585008129326,Language FE + week FE; SE clustered by language; top-1000 entry-oriented repos,*,0.051*,(0.030),0.084
GitHub extension,H4,log1p_issue_first_seen_actors,GitHub: log(1 + first-seen issue actors),SO dependence x Post ChatGPT,0.0141159020496896,0.0517102411521587,0.78486798872852,Language FE + week FE; SE clustered by language; top-1000 entry-oriented repos,,0.014,(0.052),0.785
