sample,outcome,post_date,estimate,std_error,t_stat,p_value,n_obs
baseline,log_questions,2022-11-30,-0.3012703189551686,0.0697457186811442,-4.31955286506521,1.567000885716041e-05,43003
baseline,log_answers,2022-11-30,-0.25390675400772883,0.0663927210060976,-3.8243161322520534,0.00013132287700301504,43003
baseline,code_share,2022-11-30,-0.02329081723476769,0.004918521681383778,-4.7353287722450474,2.194053144499719e-06,43003
baseline,short_code_share,2022-11-30,-0.03382546330725535,0.0051115993401791085,-6.617393315899075,3.699240913590529e-11,43003
exclude_ai_ml_tags,log_questions,2022-11-30,-0.31334532335415094,0.06957761346093862,-4.503536522276168,6.701508185491534e-06,41725
exclude_ai_ml_tags,log_answers,2022-11-30,-0.26698883599697687,0.06604470629536788,-4.0425471013973215,5.296972598856087e-05,41725
exclude_ai_ml_tags,code_share,2022-11-30,-0.022090551966249816,0.004835081586255579,-4.568806455933529,4.919303344008696e-06,41725
exclude_ai_ml_tags,short_code_share,2022-11-30,-0.033443261722275394,0.005097879389419459,-6.560230081489605,5.435984995472154e-11,41725
no_transition_8_weeks,log_questions,2022-11-30,-0.31463469025246243,0.07228343245188648,-4.352791221721389,1.3474107676492153e-05,41403
no_transition_8_weeks,log_answers,2022-11-30,-0.26521173034658474,0.06886136312427153,-3.8513865876858557,0.0001176298850558144,41403
no_transition_8_weeks,code_share,2022-11-30,-0.023951919719816615,0.005100117615312896,-4.696346540695836,2.657152565754828e-06,41403
no_transition_8_weeks,short_code_share,2022-11-30,-0.03499329950858605,0.005318369109695007,-6.579704940899224,4.7706283368142977e-11,41403
placebo_2021_pre_period_only,log_questions,2021-11-30,0.14885177777699904,0.05581714164654257,2.66677535585019,0.007663161213442349,25627
placebo_2021_pre_period_only,log_answers,2021-11-30,0.17835188988504969,0.049992360944869786,3.5675828569435097,0.00036095586445417105,25627
placebo_2021_pre_period_only,code_share,2021-11-30,-0.011444588154463366,0.003203494930775642,-3.5725320007584216,0.00035420358600735113,25627
placebo_2021_pre_period_only,short_code_share,2021-11-30,-0.0080728348216794,0.002695632730977332,-2.9947829052930754,0.0027490622236896467,25627
