model,sample,outcome,ai_index,estimate,std_error,t_stat,p_value,n_obs
tag_fe_week_fe,baseline,log_questions,ai_answerability_zscore,-0.3012703189551712,0.06974571868114414,-4.319552865065251,1.567000885716041e-05,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_questions,ai_answerability_zscore,-0.33082181690352325,0.05960559761512893,-5.550180354530243,2.8537503915697793e-08,43003
tag_fe_week_fe,baseline,log_questions,ai_answerability_pca,-0.05972807428493511,0.02323565085901022,-2.570535882440066,0.010157505885364237,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_questions,ai_answerability_pca,-0.0874676319882944,0.02113663468292726,-4.138200489359113,3.5004043614900996e-05,43003
tag_fe_week_fe,baseline,log_questions,ai_answerability_quantile,-0.3927267866327669,0.10298703329766888,-3.8133614888939253,0.0001372830795749458,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_questions,ai_answerability_quantile,-0.4620555928046322,0.07771335193693413,-5.945639729703065,2.753792235505759e-09,43003
tag_fe_week_fe,baseline,log_questions,ai_answerability_structural,-0.23109337927696724,0.06301361007392528,-3.667356607657566,0.00024536991202062097,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_questions,ai_answerability_structural,-0.22615274908550148,0.05473105955422578,-4.132073285762659,3.595057517313549e-05,43003
tag_fe_week_fe,baseline,log_answers,ai_answerability_zscore,-0.25390675400773094,0.06639272100609755,-3.8243161322520876,0.00013132287700301504,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_answers,ai_answerability_zscore,-0.32731487434266454,0.05306587040126974,-6.16808641538522,6.912136825925328e-10,43003
tag_fe_week_fe,baseline,log_answers,ai_answerability_pca,-0.028129802643416177,0.024299824411292033,-1.157613411821378,0.24702834425093312,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_answers,ai_answerability_pca,-0.07796727621478551,0.021533491127297917,-3.6207448088130363,0.00029375614887083097,43003
tag_fe_week_fe,baseline,log_answers,ai_answerability_quantile,-0.3074848076753135,0.1006502249209544,-3.0549838106849387,0.002252121520427197,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_answers,ai_answerability_quantile,-0.44359868854724505,0.0762723976081074,-5.815979337983896,6.02799124620285e-09,43003
tag_fe_week_fe,baseline,log_answers,ai_answerability_structural,-0.1665345841895832,0.062467281241092944,-2.6659489716999483,0.007680040273025046,43003
tag_fe_week_fe_tag_linear_trends,baseline,log_answers,ai_answerability_structural,-0.22143993985718846,0.049291167029091615,-4.492487258954424,7.039613128320743e-06,43003
tag_fe_week_fe,baseline,code_share,ai_answerability_zscore,-0.023290817234767888,0.004918521681383793,-4.735328772245073,2.194053144499719e-06,43003
tag_fe_week_fe_tag_linear_trends,baseline,code_share,ai_answerability_zscore,0.0024222241436438518,0.003552856264306023,0.6817681221666262,0.4953855843747792,43003
tag_fe_week_fe,baseline,code_share,ai_answerability_pca,-0.007132603533864051,0.0016324536353548435,-4.369253361559423,1.2496730517508325e-05,43003
tag_fe_week_fe_tag_linear_trends,baseline,code_share,ai_answerability_pca,0.0017480615955800527,0.0013336772448108586,1.3107081210101639,0.18995639393492436,43003
tag_fe_week_fe,baseline,code_share,ai_answerability_quantile,-0.037905167728565566,0.007228237876691617,-5.244039885681634,1.578492350162719e-07,43003
tag_fe_week_fe_tag_linear_trends,baseline,code_share,ai_answerability_quantile,0.005528050546550026,0.006100505259044064,0.906162737644498,0.36484972256929704,43003
tag_fe_week_fe,baseline,code_share,ai_answerability_structural,-0.018209181983196713,0.004750221988281552,-3.8333328480474016,0.00012660089668625751,43003
tag_fe_week_fe_tag_linear_trends,baseline,code_share,ai_answerability_structural,0.0038407611998240456,0.0033240507596947184,1.155446013759664,0.24790782822223256,43003
tag_fe_week_fe,baseline,short_code_share,ai_answerability_zscore,-0.033825463307255645,0.005111599340179132,-6.617393315899101,3.699240913590529e-11,43003
tag_fe_week_fe_tag_linear_trends,baseline,short_code_share,ai_answerability_zscore,-0.0189149854319724,0.0029836012195051825,-6.339649316509319,2.3028873214471768e-10,43003
tag_fe_week_fe,baseline,short_code_share,ai_answerability_pca,-0.012478758029179422,0.0011808160290380633,-10.567910429997367,0.0,43003
tag_fe_week_fe_tag_linear_trends,baseline,short_code_share,ai_answerability_pca,-0.006396693449075044,0.0011621735245303355,-5.504077759524004,3.711057372029817e-08,43003
tag_fe_week_fe,baseline,short_code_share,ai_answerability_quantile,-0.04925250912913196,0.00577086283428745,-8.534687193828157,0.0,43003
tag_fe_week_fe_tag_linear_trends,baseline,short_code_share,ai_answerability_quantile,-0.025461789043994078,0.004468439177310367,-5.698139335381976,1.2112204459753599e-08,43003
tag_fe_week_fe,baseline,short_code_share,ai_answerability_structural,-0.022848942788709137,0.0045572422349538805,-5.01376525773824,5.358956132184289e-07,43003
tag_fe_week_fe_tag_linear_trends,baseline,short_code_share,ai_answerability_structural,-0.013486433943836036,0.002576185874704435,-5.235039162453031,1.649498855990445e-07,43003
